Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Improving reliability engineering in product development based on design theory: the case of FMEA in the semiconductor industry,Research in Engineering Design,,32,3,10.1007/s00163-021-00360-1,Benjamin CabanesStéphane HubacPascal Le MassonBenoit Weil,2021,http://link.springer.com/article/10.1007/s00163-021-00360-1,Article
Sustainability awareness in engineering curriculum through a proposed teaching and assessment framework,International Journal of Technology and Design Education,,31,3,10.1007/s10798-020-09567-0,M. S. Abd-ElwahedA. M. Al-Bahi,2021,http://link.springer.com/article/10.1007/s10798-020-09567-0,Article
Development of a flexible rehabilitation system for bedridden patients,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,43,7,10.1007/s40430-021-03073-7,Alexandre CamposEliseo CortésDaniel MartinsManuel FerreAldo Contreras,2021,http://link.springer.com/article/10.1007/s40430-021-03073-7,Article
A review about methods for supporting failure risks analysis in eco-assessment,Environmental Monitoring and Assessment,,193,7,10.1007/s10661-021-09175-y,Christian Spreafico,2021,http://link.springer.com/article/10.1007/s10661-021-09175-y,Article
Wheel hub customization with an interactive artificial immune algorithm,Journal of Intelligent Manufacturing,,32,5,10.1007/s10845-020-01613-x,Jing LiuQiqi ZhiHaipeng JiBolong LiSiyuan Lei,2021,http://link.springer.com/article/10.1007/s10845-020-01613-x,Article
Multi-stage timetable rescheduling for high-speed railways: a dynamic programming approach with adaptive state generation,Complex & Intelligent Systems,,7,3,10.1007/s40747-021-00272-6,Guoqi FengPeng XuDongliang CuiXuewu DaiHui LiuQi Zhang,2021,http://link.springer.com/article/10.1007/s40747-021-00272-6,Article
A novel approach to solve the problems with network structure,Operational Research,,21,2,10.1007/s12351-019-00486-0,Abbas BonyaniMoslem Alimohammadlou,2021,http://link.springer.com/article/10.1007/s12351-019-00486-0,Article
Supplier selection and order allocation: a literature review,"Journal of Data, Information and Management",,3,2,10.1007/s42488-021-00049-z,Mohammad Abbas NaqviSaman Hassanzadeh Amin,2021,http://link.springer.com/article/10.1007/s42488-021-00049-z,Article
A new approach to select the reliable suppliers for one-shot devices,Production Engineering,,15,03-abr,10.1007/s11740-021-01032-8,Meysam AzimianMahdi KarbasianKarim AtashgarGolam Kabir,2021,http://link.springer.com/article/10.1007/s11740-021-01032-8,Article
A hybrid method of blockchain and case-based reasoning for remanufacturing process planning,Journal of Intelligent Manufacturing,,32,5,10.1007/s10845-020-01618-6,Shengqiang LiHua ZhangWei YanZhigang Jiang,2021,http://link.springer.com/article/10.1007/s10845-020-01618-6,Article
The user preference identification for product improvement based on online comment patch,Electronic Commerce Research,,21,2,10.1007/s10660-019-09372-5,Shugang LiYuqi ZhangYueming LiZhaoxu Yu,2021,http://link.springer.com/article/10.1007/s10660-019-09372-5,Article
Comparison among multi-criteria decision analysis techniques: a novel method,Progress in Artificial Intelligence,,10,2,10.1007/s13748-021-00235-5,Susmita Bandyopadhyay,2021,http://link.springer.com/article/10.1007/s13748-021-00235-5,Article
Complexity in manufacturing systems: a literature review,Production Engineering,,15,03-abr,10.1007/s11740-020-01013-3,Germán Herrera VidalJairo Rafael Coronado Hernández,2021,http://link.springer.com/article/10.1007/s11740-020-01013-3,Article
Introgressing the Aegilops tauschii genome into wheat as a basis for cereal improvement,Nature Plants,,7,6,10.1038/s41477-021-00934-w,Yun ZhouShenglong BaiHao LiGuiling SunDale ZhangFeifei MaXinpeng ZhaoFang NieJingyao LiLiyang ChenLinlin LvLele ZhuRuixiao FanYifan GeAaqib ShaheenGuanghui Guo,2021,http://link.springer.com/article/10.1038/s41477-021-00934-w,Article
A systems engineering study of integration reverse vending machines into the waste management system of Kazakhstan,Journal of Material Cycles and Waste Management,,23,3,10.1007/s10163-020-01161-9,A. AmantayevaA. AlkuatovaI. KanafinS. TokbolatE. Shehab,2021,http://link.springer.com/article/10.1007/s10163-020-01161-9,Article
A new hybrid decision-making strategy of cutting fluid selection for manufacturing environment,Sādhanā,,46,2,10.1007/s12046-021-01618-z,Mehmet Alper Sofuoğlu,2021,http://link.springer.com/article/10.1007/s12046-021-01618-z,Article
The characteristics of laboratory tests at admission and the risk factors for adverse clinical outcomes of severe and critical COVID-19 patients,BMC Infectious Diseases,,21,1,10.1186/s12879-021-06057-z,Liulin WangXiaobin ChengQiufen DongChenliang ZhouYeming WangBin SongWeinan LiMin WangRui QinQi LongJuan LiuJing LiDan LiGang LiYuanming Ba,2021,http://link.springer.com/article/10.1186/s12879-021-06057-z,Article
Effects of Arsenic and Iron on the Community and Abundance of Arsenite-Oxidizing Bacteria in an Arsenic-Affected Groundwater Aquifer,Current Microbiology,,78,4,10.1007/s00284-021-02418-8,Phurinat PipattanajaroenkulSrilert ChotpantaratTeerasit TermsaithongPrinpida Sonthiphand,2021,http://link.springer.com/article/10.1007/s00284-021-02418-8,Article
Fuzzy TOPSIS and fuzzy VIKOR in selecting green suppliers for sponge iron and steel manufacturing,Soft Computing,,25,8,10.1007/s00500-021-05644-1,Sanjay KumarAsim Gopal Barman,2021,http://link.springer.com/article/10.1007/s00500-021-05644-1,Article
A modified failure modes and effects analysis using interval-valued spherical fuzzy extension of TOPSIS method: case study in a marble manufacturing facility,Soft Computing,,25,8,10.1007/s00500-021-05605-8,Muhammet GulM. Fatih Ak,2021,http://link.springer.com/article/10.1007/s00500-021-05605-8,Article
A concept map to support the planning and evaluation of artifacts in the initial phases of PSS design,Research in Engineering Design,,32,2,10.1007/s00163-021-00358-9,Maiara RosaWei Min WangRainer StarkHenrique Rozenfeld,2021,http://link.springer.com/article/10.1007/s00163-021-00358-9,Article
Electroweak SU(2)L × U(1)Y model with strong spontaneously fermion-mass-generating gauge dynamics,Journal of High Energy Physics,,2021,3,10.1007/JHEP03(2021)224,Petr BenešJiří HošekAdam Smetana,2021,http://link.springer.com/article/10.1007/JHEP03%282021%29224,Article
Variability in groundwater flow and chemistry in the Mekong River alluvial aquifer (Thailand): implications for arsenic and manganese occurrence,Environmental Earth Sciences,,80,6,10.1007/s12665-021-09522-9,Alan E. FryarMadeline E. SchreiberKewaree PholkernKriengsak SrisukBrady A. Ziegler,2021,http://link.springer.com/article/10.1007/s12665-021-09522-9,Article
Construction of patient service system based on QFD in internet of things,The Journal of Supercomputing,,77,3,10.1007/s11227-020-03359-y,Anzhong HuangJie CaoHuimei Zhang,2021,http://link.springer.com/article/10.1007/s11227-020-03359-y,Article
Balancing user requirements and implementation difficulties in the requirements engineering of production tools for user-generated content: a case study of an animation application,Multimedia Tools and Applications,,80,7,10.1007/s11042-020-10216-w,Kaili Fu,2021,http://link.springer.com/article/10.1007/s11042-020-10216-w,Article
Appraising the triple bottom line utility of sustainable project portfolio selection using a novel multi-criteria house of portfolio,"Environment, Development and Sustainability",,23,3,10.1007/s10668-020-00724-y,Seyed Farid GhannadpourAli Reza HoseiniMorteza BagherpourElmira Ahmadi,2021,http://link.springer.com/article/10.1007/s10668-020-00724-y,Article
Implementation framework for PLM: a case study in the fashion industry,The International Journal of Advanced Manufacturing Technology,,113,01-feb,10.1007/s00170-021-06623-4,Virginia FaniChiara FalchiBianca BindiRomeo Bandinelli,2021,http://link.springer.com/article/10.1007/s00170-021-06623-4,Article
Concept selection and interactive design of an orthodontic functional appliance,International Journal on Interactive Design and Manufacturing (IJIDeM),,15,1,10.1007/s12008-020-00743-z,Luca GrigolatoStefano FilippiDaniele CantarellaRoberta LioneWon MoonStefano RossoRoberto MeneghelloGianmaria ConcheriGianpaolo Savio,2021,http://link.springer.com/article/10.1007/s12008-020-00743-z,Article
"Reliability, availability and maintainability aspects of automobiles",Life Cycle Reliability and Safety Engineering,,10,1,10.1007/s41872-020-00130-3,Ajith Tom James,2021,http://link.springer.com/article/10.1007/s41872-020-00130-3,Article
Bus body manufacturing system via FEMA and fuzzy logic controller,Soft Computing,,25,5,10.1007/s00500-020-05414-5,A. MuthukumarK. Krishnamurthy,2021,http://link.springer.com/article/10.1007/s00500-020-05414-5,Article
Weighted interval-valued dual-hesitant fuzzy sets and its application in teaching quality assessment,Soft Computing,,25,5,10.1007/s00500-020-05383-9,Jawad AliZia BashirTabasam Rashid,2021,http://link.springer.com/article/10.1007/s00500-020-05383-9,Article
Investigation and prioritization of risk factors in the collision of two passenger trains based on fuzzy COPRAS and fuzzy DEMATEL methods,Soft Computing,,25,6,10.1007/s00500-020-05478-3,Araz HasheminezhadFarhad HadadiHamid Shirmohammadi,2021,http://link.springer.com/article/10.1007/s00500-020-05478-3,Article
Methods of Control of the Corrosion Protection of Steel Structures at Industrial Objects,Materials Science,,56,5,10.1007/s11003-021-00479-5,V. P. KorolovO. M. GibalenkoP. V. Korolov,2021,http://link.springer.com/article/10.1007/s11003-021-00479-5,Article
The dominance model for heterosis explains culm length genetics in a hybrid sorghum variety,Scientific Reports,,11,1,10.1038/s41598-021-84020-3,Shumpei HashimotoTatsuro WakeHaruki NakamuraMasaki MinamiyamaSatoko Araki-NakamuraKozue Ohmae-ShinoharaEriko KoketsuShinnosuke OkamuraKotaro MiuraHideo KawaguchiShigemitsu KasugaTakashi Sazuka,2021,http://link.springer.com/article/10.1038/s41598-021-84020-3,Article
A Fuzzy Design Decision Model for New Healthcare Service Conceptualization,International Journal of Fuzzy Systems,,23,1,10.1007/s40815-020-00942-6,An-Jin ShieChing-Hung LeeShu-Yan YuChang Wang,2021,http://link.springer.com/article/10.1007/s40815-020-00942-6,Article
A review of selected weighing methods in MCDM with a case study,International Journal of System Assurance Engineering and Management,,12,1,10.1007/s13198-020-01033-3,Meenu SinghMillie Pant,2021,http://link.springer.com/article/10.1007/s13198-020-01033-3,Article
Apprehending and Embedding Customer Expectations in the Collaborative Development of Performance Indicators,Systemic Practice and Action Research,,34,1,10.1007/s11213-019-09511-x,Rebekah SchulzAndrew SenseMatthew Pepper,2021,http://link.springer.com/article/10.1007/s11213-019-09511-x,Article
Medical Supplier Selection with a Group Decision-Making Method Based on Incomplete Probabilistic Linguistic Preference Relations,International Journal of Fuzzy Systems,,23,1,10.1007/s40815-020-00885-y,Huchang LiaoXinyue PengXunjie Gou,2021,http://link.springer.com/article/10.1007/s40815-020-00885-y,Article
A New Approach for Occupational Risk Evaluation of Natural Gas Pipeline Construction with Extended Cumulative Prospect Theory,International Journal of Fuzzy Systems,,23,1,10.1007/s40815-020-01038-x,Weizhong WangXinwang LiuYilin MaShuli Liu,2021,http://link.springer.com/article/10.1007/s40815-020-01038-x,Article
A novel Pythagorean fuzzy AHP and fuzzy TOPSIS methodology for green supplier selection in the Industry 4.0 era,Soft Computing,,25,3,10.1007/s00500-020-05294-9,Ahmet Çalık,2021,http://link.springer.com/article/10.1007/s00500-020-05294-9,Article
An interval fuzzy number-based fuzzy collaborative forecasting approach for DRAM yield forecasting,Complex & Intelligent Systems,,7,1,10.1007/s40747-020-00179-8,Toly ChenMin-Chi Chiu,2021,http://link.springer.com/article/10.1007/s40747-020-00179-8,Article
Fuzzy simulation of organizational adjustment processes management based on heat supply balanced scorecard,Innovative Infrastructure Solutions,,6,2,10.1007/s41062-020-00435-3,Gulmira D. BazilShinar K. AdilovaLaulasyn K. AbzhanovaLaura A. SugurovaMira E. Yerzhanova,2021,http://link.springer.com/article/10.1007/s41062-020-00435-3,Article
Sensitivity enriched multi-criterion decision making process for novel railway switches and crossings − a case study,European Transport Research Review,,13,1,10.1186/s12544-020-00467-x,Hitesh C. BoghaniRamakrishnan AmburMarcelo BlumenfeldLouis SaadeRoger M. GoodallChristopher P. WardOtto PlášekNeil GoftonMiquel MorataClive RobertsRoger Dixon,2021,http://link.springer.com/article/10.1186/s12544-020-00467-x,Article
"Mechanisms of arsenic contamination associated with hydrochemical characteristics in coastal alluvial aquifers using multivariate statistical technique and hydrogeochemical modeling: a case study in Rayong province, eastern Thailand",Environmental Geochemistry and Health,,43,1,10.1007/s10653-020-00728-7,Satika BoonkaewwanPrinpida SonthiphandSrilert Chotpantarat,2021,http://link.springer.com/article/10.1007/s10653-020-00728-7,Article
On the Weak-Injectivity Profile of a Ring,Bulletin of the Malaysian Mathematical Sciences Society,,44,1,10.1007/s40840-020-00938-3,Pınar AydoğduSergio R. López-PermouthMartha Lizbeth Shaid Sandoval-Miranda,2021,http://link.springer.com/article/10.1007/s40840-020-00938-3,Article
Gresilient supplier assessment and order allocation planning,Annals of Operations Research,,296,01-feb,10.1007/s10479-020-03611-x,Ahmed MohammedIrina HarrisAnthony SorokaMohamed NaimTim RamjaunMorteza Yazdani,2021,http://link.springer.com/article/10.1007/s10479-020-03611-x,Article
Research on commercial logistics inventory forecasting system based on neural network,Neural Computing and Applications,,33,2,10.1007/s00521-020-05090-4,Chaoliang HanQiuying Wang,2021,http://link.springer.com/article/10.1007/s00521-020-05090-4,Article
Dual generalized Bonferroni mean operators based on 2-dimensional uncertain linguistic information and their applications in multi-attribute decision making,Artificial Intelligence Review,,54,1,10.1007/s10462-020-09857-y,Peide LiuWeiqiao Liu,2021,http://link.springer.com/article/10.1007/s10462-020-09857-y,Article
Best–worst method for robot selection,Soft Computing,,25,1,10.1007/s00500-020-05169-z,Asif AliTabasam Rashid,2021,http://link.springer.com/article/10.1007/s00500-020-05169-z,Article
Influence of Threshold Voltage Performance Analysis on Dual Halo Gate Stacked Triple Material Dual Gate TFET for Ultra Low Power Applications,Silicon,,13,1,10.1007/s12633-020-00422-4,M. VenkateshN. B. Balamurugan,2021,http://link.springer.com/article/10.1007/s12633-020-00422-4,Article
A transformation of human operation approach to inform system design for automation,Journal of Intelligent Manufacturing,,32,1,10.1007/s10845-020-01568-z,Simon MichelerYee Mey GohNiels Lohse,2021,http://link.springer.com/article/10.1007/s10845-020-01568-z,Article
Module-based product family design: systematic literature review and meta-synthesis,Journal of Intelligent Manufacturing,,32,1,10.1007/s10845-020-01572-3,Leandro GaussDaniel P. LacerdaPaulo A. Cauchick Miguel,2021,http://link.springer.com/article/10.1007/s10845-020-01572-3,Article
Organizational excellence methodologies (OEMs): a systematic literature review,International Journal of System Assurance Engineering and Management,,11,6,10.1007/s13198-020-01017-3,Alaa M. UbaidFikri T. DweiriUdechukwu Ojiako,2020,http://link.springer.com/article/10.1007/s13198-020-01017-3,Article
Possibilities for the Integration of Quality Management Tools and Methods with Digital Technologies,Russian Metallurgy (Metally),,2020,13,10.1134/S003602952013039X,V. A. VasilievS. V. AleksandrovaM. N. AleksandrovYu. V. Velmakina,2020,http://link.springer.com/article/10.1134/S003602952013039X,Article
Machine Learning-Enabled Uncertainty Quantification for Modeling Structure–Property Linkages for Fatigue Critical Engineering Alloys Using an ICME Workflow,Integrating Materials and Manufacturing Innovation,,9,4,10.1007/s40192-020-00192-2,Gary WhelanDavid L. McDowell,2020,http://link.springer.com/article/10.1007/s40192-020-00192-2,Article
Developing House of Information Quality framework for IoT systems,International Journal of System Assurance Engineering and Management,,11,6,10.1007/s13198-020-00989-6,Rawhi AlraeQassim NasirManar Abu Talib,2020,http://link.springer.com/article/10.1007/s13198-020-00989-6,Article
Identification of promising inventions considering the quality of knowledge accumulation: a machine learning approach,Scientometrics,,125,3,10.1007/s11192-020-03710-3,Uijun KwonYoungjung Geum,2020,http://link.springer.com/article/10.1007/s11192-020-03710-3,Article
A review of closed-loop supply chain models,"Journal of Data, Information and Management",,2,4,10.1007/s42488-020-00034-y,Saman Hassanzadeh AminGuoqing ZhangMiqdad Nidal Eldali,2020,http://link.springer.com/article/10.1007/s42488-020-00034-y,Article
A multi-criteria sustainability assessment approach for energy systems using sustainability triple bottom line attributes and linguistic preferences,"Environment, Development and Sustainability",,22,8,10.1007/s10668-019-00546-7,Sepehr HendianiEbrahim SharifiMorteza BagherpourSeyed Farid Ghannadpour,2020,http://link.springer.com/article/10.1007/s10668-019-00546-7,Article
Statistical thinking and its impact on operational performance in manufacturing companies: an empirical study,Annals of Operations Research,,295,2,10.1007/s10479-020-03801-7,Fabiane Letícia LizarelliJiju AntonyJosé Carlos Toledo,2020,http://link.springer.com/article/10.1007/s10479-020-03801-7,Article
Use of the QFD method to redesign a new extrusion system for a printing machine for ceramics,The International Journal of Advanced Manufacturing Technology,,111,01-feb,10.1007/s00170-020-05874-x,Jihad EL MesbahiIrene Buj-CorralAbdelilah EL Mesbahi,2020,http://link.springer.com/article/10.1007/s00170-020-05874-x,Article
Knowledge structure generation and modularization based on binary matrix factorization in engineering design,Journal of Mechanical Science and Technology,,34,11,10.1007/s12206-020-1024-4,Shubin ZhaoCheng XuRuizhe Wang,2020,http://link.springer.com/article/10.1007/s12206-020-1024-4,Article
Sustainable supplier selection by a new possibilistic hierarchical model in the context of Z-information,Journal of Ambient Intelligence and Humanized Computing,,11,11,10.1007/s12652-020-01751-3,Ali Reza HoseiniSeyed Farid GhannadpourRoya Ghamari,2020,http://link.springer.com/article/10.1007/s12652-020-01751-3,Article
Simultaneous Customers and Supplier’s Prioritization: An AHP-Based Fuzzy Inference Decision Support System (AHP-FIDSS),International Journal of Fuzzy Systems,,22,8,10.1007/s40815-020-00977-9,Muhammad ImranMujtaba Hassan AghaWaqas AhmedBiswajit SarkarMuhammad Babar Ramzan,2020,http://link.springer.com/article/10.1007/s40815-020-00977-9,Article
An exploratory study on computer-aided affective product design based on crowdsourcing,Journal of Ambient Intelligence and Humanized Computing,,11,11,10.1007/s12652-020-01821-6,Chih-Hsing ChuWei-Chen ChangYung-I. Lin,2020,http://link.springer.com/article/10.1007/s12652-020-01821-6,Article
Identification of fruit size associated quantitative trait loci featuring SLAF based high-density linkage map of goji berry (Lycium spp.),BMC Plant Biology,,20,1,10.1186/s12870-020-02567-1,Fazal RehmanHaiguang GongZhong LiShaohua ZengTianshun YangPeiyan AiLizhu PanHongwen HuangYing Wang,2020,http://link.springer.com/article/10.1186/s12870-020-02567-1,Article
Mobile phone selection based on a novel quality function deployment approach,Soft Computing,,24,20,10.1007/s00500-020-04876-x,Burak EfeMehmet Akif YerlikayaÖmer Faruk Efe,2020,http://link.springer.com/article/10.1007/s00500-020-04876-x,Article
Analysis of RGB-D camera technologies for supporting different facial usage scenarios,Multimedia Tools and Applications,,79,39 - 40,10.1007/s11042-020-09479-0,Luca UlrichEnrico VezzettiSandro MoosFederica Marcolin,2020,http://link.springer.com/article/10.1007/s11042-020-09479-0,Article
Unknown Input Observer-Based Design for a Class of Nonlinear System with Time-Variable Delay,"Journal of Control, Automation and Electrical Systems",,31,5,10.1007/s40313-020-00605-9,Ikram TrikiRamzi Ben MassaoudFaouzi Bouani,2020,http://link.springer.com/article/10.1007/s40313-020-00605-9,Article
Evaluation and selection of third party logistics provider under sustainability perspectives: an interval valued fuzzy-rough approach,Annals of Operations Research,,293,2,10.1007/s10479-019-03501-x,Jagannath RoyDragan PamučarSamarjit Kar,2020,http://link.springer.com/article/10.1007/s10479-019-03501-x,Article
Towards the formalization of non-functional requirements in conceptual design,Research in Engineering Design,,31,4,10.1007/s00163-020-00345-6,Prabhu ShankarBeshoy MorkosDarshan YadavJoshua D. Summers,2020,http://link.springer.com/article/10.1007/s00163-020-00345-6,Article
"A new approach for ergonomic risk assessment integrating KEMIRA, best–worst and MCDM methods",Soft Computing,,24,19,10.1007/s00500-020-05143-9,Elif Kılıç DeliceGülin Feryal Can,2020,http://link.springer.com/article/10.1007/s00500-020-05143-9,Article
Occupational health and safety risk assessment using an integrated SWARA-MABAC model under bipolar fuzzy environment,Computational and Applied Mathematics,,39,4,10.1007/s40314-020-01311-7,Ran LiuLin-Xiu HouHu-Chen LiuWanlong Lin,2020,http://link.springer.com/article/10.1007/s40314-020-01311-7,Article
Product-requirement-model to approach the identification of uncertainties in battery systems development,International Journal on Interactive Design and Manufacturing (IJIDeM),,14,3,10.1007/s12008-020-00666-9,Heiner Hans HeimesAchim KampkerAndreas HaunreiterHenning DavidsDomenic Klohs,2020,http://link.springer.com/article/10.1007/s12008-020-00666-9,Article
Parallel multi-objective artificial bee colony algorithm for software requirement optimization,Requirements Engineering,,25,3,10.1007/s00766-020-00328-y,Hamidreza AlrezaamiriAli EbrahimnejadHomayun Motameni,2020,http://link.springer.com/article/10.1007/s00766-020-00328-y,Article
Towards successful business model management with analytic network process-based feasibility evaluation and portfolio management,Electronic Markets,,30,3,10.1007/s12525-020-00427-2,Kwanyoung ImKihwan NamHyunbo Cho,2020,http://link.springer.com/article/10.1007/s12525-020-00427-2,Article
Multi-attribute group decision-making using double hierarchy hesitant fuzzy linguistic preference information,Neural Computing and Applications,,32,17,10.1007/s00521-020-04802-0,R. KrishankumarK. S. RavichandranV. ShyamS. V. SnehaSamarjit KarHarish Garg,2020,http://link.springer.com/article/10.1007/s00521-020-04802-0,Article
"A decision support model based on the combined structure of DEMATEL, QFD and fuzzy values",Soft Computing,,24,16,10.1007/s00500-020-04685-2,Morteza YazdaniZ. X. WangFelix T. S. Chan,2020,http://link.springer.com/article/10.1007/s00500-020-04685-2,Article
A Review of E-mass Customization as a Branding Strategy,Corporate Reputation Review,,23,3,10.1057/s41299-019-00087-9,Ye YanSuraksha GuptaKlaus SchoeferTana Licsandru,2020,http://link.springer.com/article/10.1057/s41299-019-00087-9,Article
A new soft computing approach for green supplier selection problem with interval type-2 trapezoidal fuzzy statistical group decision and avoidance of information loss,Soft Computing,,24,16,10.1007/s00500-020-04675-4,S. M. MousaviN. ForoozeshE. K. ZavadskasJ. Antucheviciene,2020,http://link.springer.com/article/10.1007/s00500-020-04675-4,Article
Sustainable design for users: a literature review and bibliometric analysis,Environmental Science and Pollution Research,,27,24,10.1007/s11356-020-09283-1,Duanyang GengYunting FengQinghua Zhu,2020,http://link.springer.com/article/10.1007/s11356-020-09283-1,Article
"ddRAD-seq derived genome-wide SNPs, high density linkage map and QTLs for fruit quality traits in strawberry (Fragaria x ananassa)",3 Biotech,,10,8,10.1007/s13205-020-02291-5,Sathishkumar NatarajanMohammad Rashed HossainHoy-Taek KimMichael Immanuel Jesse DenisonMostari Jahan FerdousHee-Jeong JungJong-In ParkIll-Sup Nou,2020,http://link.springer.com/article/10.1007/s13205-020-02291-5,Article
Mass hierarchy from the flavor symmetry in supersymmetric multi-Higgs doublet model,Journal of High Energy Physics,,2020,7,10.1007/JHEP07(2020)147,Atsushi Hinata,2020,http://link.springer.com/article/10.1007/JHEP07%282020%29147,Article
Approaches to the improvement of quality management methods,International Journal of System Assurance Engineering and Management,,11,2,10.1007/s13198-019-00939-x,Yury S. KlochkovAndrei M. Tveryakov,2020,http://link.springer.com/article/10.1007/s13198-019-00939-x,Article
Introducing value driven design in engineering education: teaching the use of value models in preliminary design,International Journal of Technology and Design Education,,30,3,10.1007/s10798-019-09511-x,Alessandro Bertoni,2020,http://link.springer.com/article/10.1007/s10798-019-09511-x,Article
Design for relevance concurrent engineering approach: integration of IATF 16949 requirements and design for X techniques,Research in Engineering Design,,31,3,10.1007/s00163-020-00339-4,Abla Chaouni BenabdellahAsmaa BenghabritImane BouhaddouOussama Benghabrit,2020,http://link.springer.com/article/10.1007/s00163-020-00339-4,Article
Development of an intuitionistic fuzzy ranking model for nontraditional machining processes,Soft Computing,,24,13,10.1007/s00500-019-04523-0,Mustafa YurdakulYusuf Tansel İçKumru Didem Atalay,2020,http://link.springer.com/article/10.1007/s00500-019-04523-0,Article
Dealing with the problem of null weights and scores in Fuzzy Analytic Hierarchy Process,Soft Computing,,24,13,10.1007/s00500-019-04464-8,Francisco Rodrigues Lima-JuniorLuiz Cesar Ribeiro Carpinetti,2020,http://link.springer.com/article/10.1007/s00500-019-04464-8,Article
Improved approach to quality function deployment based on Pythagorean fuzzy sets and application to assembly robot design evaluation,Frontiers of Engineering Management,,7,2,10.1007/s42524-019-0038-z,Huchang LiaoYinghan ChangDi WuXunjie Gou,2020,http://link.springer.com/article/10.1007/s42524-019-0038-z,Article
Composition modeling for manufacturing resource cloud service,Service Oriented Computing and Applications,,14,2,10.1007/s11761-019-00280-y,Guodong YiHangjian HuShuyou ZhangLongfei Sun,2020,http://link.springer.com/article/10.1007/s11761-019-00280-y,Article
Supplier selection using extended IT2 fuzzy TOPSIS and IT2 fuzzy MOORA considering subjective and objective factors,Soft Computing,,24,12,10.1007/s00500-019-04419-z,Ashoke Kumar BeraDipak Kumar JanaDebamalya BanerjeeTitas Nandy,2020,http://link.springer.com/article/10.1007/s00500-019-04419-z,Article
An Overview of the Fuzzy Data Envelopment Analysis Research and Its Successful Applications,International Journal of Fuzzy Systems,,22,4,10.1007/s40815-020-00853-6,Wei ZhouZeshui Xu,2020,http://link.springer.com/article/10.1007/s40815-020-00853-6,Article
Agile maintenance attribute coding and evaluation based decision making in sugar manufacturing plant,OPSEARCH,,57,2,10.1007/s12597-019-00426-8,Priyank SrivastavaDinesh KhandujaV. P. Agrawal,2020,http://link.springer.com/article/10.1007/s12597-019-00426-8,Article
"Special issue: Decision, risk analytics and data intelligence",Frontiers of Engineering Management,,7,2,10.1007/s42524-020-0114-4,Xiaozhe ZhaoDesheng Wu,2020,http://link.springer.com/article/10.1007/s42524-020-0114-4,Article
Design of airport security screening using queueing theory augmented with particle swarm optimisation,Service Oriented Computing and Applications,,14,2,10.1007/s11761-020-00291-0,Mohamad NajiAli BrayteeAhmed Al-AniAli AnaissiMadhu GoyalPaul J. Kennedy,2020,http://link.springer.com/article/10.1007/s11761-020-00291-0,Article
Quality attribute trade-offs in the embedded systems industry: an exploratory case study,Software Quality Journal,,28,2,10.1007/s11219-019-09478-x,Darius SasParis Avgeriou,2020,http://link.springer.com/article/10.1007/s11219-019-09478-x,Article
Systematic review of STEP-NC-based inspection,The International Journal of Advanced Manufacturing Technology,,108,11-dic,10.1007/s00170-020-05468-7,Yazid SaifYusri YusofKamran LatifAini Zuhra Abdul KadirMaznah lliyas Ahmed,2020,http://link.springer.com/article/10.1007/s00170-020-05468-7,Article
Combining quality function deployment with simple additive weighting for interval-valued fuzzy multi-criteria decision-making with dependent evaluation criteria,Soft Computing,,24,10,10.1007/s00500-019-04394-5,Yu-Jie Wang,2020,http://link.springer.com/article/10.1007/s00500-019-04394-5,Article
Mapping QTLs for 15 morpho-metric traits in Arabidopsis thaliana using Col-0 × Don-0 population,Physiology and Molecular Biology of Plants,,26,5,10.1007/s12298-020-00800-7,Astha GuptaVandana JaiswalSamir V. SawantHemant Kumar Yadav,2020,http://link.springer.com/article/10.1007/s12298-020-00800-7,Article
Implementation of fuzzy-based integrated framework for sesame seed separator development,Soft Computing,,24,10,10.1007/s00500-019-04392-7,C. BaskarR. ParameshwaranN. Nithyavathy,2020,http://link.springer.com/article/10.1007/s00500-019-04392-7,Article
Sustainable Development of Small-Sized Hydropower Plants: Multilevel Decision-Making from Site Selection to Optimal Design,Arabian Journal for Science and Engineering,,45,5,10.1007/s13369-020-04407-8,Abdul Razzaq GhummanHusnain HaiderIrfan YousufMd. Shafiquzamman,2020,http://link.springer.com/article/10.1007/s13369-020-04407-8,Article
Denoising Color Images Based on Local Orientation Estimation and CNN Classifier,Journal of Mathematical Imaging and Vision,,62,4,10.1007/s10851-019-00942-8,Lianghai JinEnmin SongWenhua Zhang,2020,http://link.springer.com/article/10.1007/s10851-019-00942-8,Article
A knowledge-based method for eco-efficiency upgrading of remanufacturing process planning,The International Journal of Advanced Manufacturing Technology,,108,4,10.1007/s00170-020-05025-2,Daojia ChenZhigang JiangShuo ZhuHua Zhang,2020,http://link.springer.com/article/10.1007/s00170-020-05025-2,Article
AT-d8sign: methodology to support development of assistive devices focused on user-centered design and 3D technologies,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,42,5,10.1007/s40430-020-02347-w,A. V. F. SantosZ. C. Silveira,2020,http://link.springer.com/article/10.1007/s40430-020-02347-w,Article
